Station Name,Station ID,Station Latitude,Station Longitude
Lexington Ave & E 29 St,540,40.74311555,-73.98215353
E 23 St & 1 Ave,545,40.736502,-73.97809472
E 30 St & Park Ave S,546,40.74444921,-73.98303529
Front St & Washington St,2000,40.70255088,-73.98940236
Sands St & Navy St,2001,40.699773,-73.979927
Wythe Ave & Metropolitan Ave,2002,40.716887,-73.963198
1 Ave & E 18 St,2003,40.73381219,-73.98054421
Railroad Ave & Kay Ave,2005,40.70531194,-73.97100056
Central Park S & 6 Ave,2006,40.76590936,-73.97634151
Little West St & 1 Pl,2008,40.70569254,-74.01677685
Catherine St & Monroe St,2009,40.71117444,-73.99682619
Grand St & Greene St,2010,40.72165481,-74.00234737
E 27 St & 1 Ave,2012,40.739445,-73.976806
W 45 St & 8 Ave,2021,40.75929124,-73.98859651
E 60 St & York Ave,2022,40.759107,-73.959223
E 55 St & Lexington Ave,2023,40.75968085,-73.97031366
South End Ave & Liberty St,3002,40.711512,-74.015756
Kent Ave & N 7 St,3016,40.72036775,-73.96165073
Kingston Ave & Herkimer St,3041,40.67890679,-73.94142771
Fulton St & Utica Ave,3042,40.6794268,-73.9298911
Lewis Ave & Decatur St,3043,40.6814598,-73.934903
Albany Ave & Fulton St,3044,40.6800105,-73.938475
Marcus Garvey Blvd & Macon St,3046,40.682601,-73.938037
Halsey St & Tompkins Ave,3047,40.6823687,-73.944118
Putnam Ave & Nostrand Ave,3048,40.68402,-73.94977
Cambridge Pl & Gates Ave,3049,40.68488,-73.96304
Putnam Ave & Throop Ave,3050,40.6851532,-73.94111
Lewis Ave & Madison St,3052,40.686312,-73.935775
Marcy Ave & Lafayette Ave,3053,40.6900815,-73.947915
Greene Ave & Throop Ave,3054,40.6894932,-73.942061
Greene Ave & Nostrand Ave,3055,40.6883337,-73.950916
Kosciuszko St & Nostrand Ave,3056,40.69072549,-73.95133465
Kosciuszko St & Tompkins Ave,3057,40.69128258,-73.9452416
Lewis Ave & Kosciuszko St,3058,40.69237074,-73.93705428
Pulaski St & Marcus Garvey Blvd,3059,40.6933982,-73.939877
Willoughby Ave & Tompkins Ave,3060,40.69425403,-73.94626915
Throop Ave & Myrtle Ave,3061,40.69622937,-73.94371094
Myrtle Ave & Marcy Ave,3062,40.69539817,-73.94954908
Nostrand Ave & Myrtle Ave,3063,40.69527008,-73.95238108
Myrtle Ave & Lewis Ave,3064,40.69681963,-73.93756926
Union Ave & Wallabout St,3065,40.70029511,-73.95032283
Tompkins Ave & Hopkins St,3066,40.69957608,-73.94708417
Broadway & Whipple St,3067,40.7016657,-73.9437303
Humboldt St & Varet St,3068,40.7031724,-73.940636
Lorimer St & Broadway,3069,40.70411791,-73.94818595
McKibbin St & Manhattan Ave,3070,40.70510918,-73.94407279
Boerum St & Broadway,3071,40.70538077,-73.94976519
Leonard St & Boerum St,3072,40.70583339,-73.94644578
Division Ave & Hooper St,3073,40.70691254,-73.95441667
Montrose Ave & Bushwick Ave,3074,40.70767788,-73.94016171
Division Ave & Marcy Ave,3075,40.70708701,-73.95796783
Scholes St & Manhattan Ave,3076,40.70870368,-73.9448625
Stagg St & Union Ave,3077,40.70877084,-73.95095259
Broadway & Roebling St,3078,40.70924826,-73.96063149
S 4 St & Rodney St,3080,40.70934,-73.95608
Graham Ave & Grand St,3081,40.711863,-73.944024
Hope St & Union Ave,3082,40.71167351,-73.95141312
Bushwick Ave & Powers St,3083,40.71247661,-73.94100005
Roebling St & N 4 St,3085,40.71469,-73.95739
Graham Ave & Conselyea St,3086,40.715143,-73.944507
Metropolitan Ave & Meeker Ave,3087,40.71413311,-73.95234386
Union Ave & Jackson St,3088,40.7160751,-73.952029
N 8 St & Driggs Ave,3090,40.71774592,-73.95600096
Frost St & Meeker St,3091,40.71764,-73.94882
Berry St & N 8 St,3092,40.7190095,-73.95852515
N 6 St & Bedford Ave,3093,40.71745169,-73.95850939
Graham Ave & Withers St,3094,40.7169811,-73.94485918
Graham Ave & Herbert St,3095,40.71929301,-73.94500379
Union Ave & N 12 St,3096,40.71924,-73.95242
Nassau Ave & Newell St,3100,40.72481256,-73.94752622
N 12 St & Bedford Ave,3101,40.72079821,-73.95484712
Driggs Ave & Lorimer St,3102,40.72179134,-73.9504154
N 11 St & Wythe Ave,3103,40.72153267,-73.95782357
N 15 St & Wythe Ave,3105,40.724055,-73.955736
Driggs Ave & N Henry St,3106,40.72325,-73.94308
Bedford Ave & Nassau Ave,3107,40.72311651,-73.95212324
Nassau Ave & Russell St,3108,40.72557,-73.94434
Banker St & Meserole Ave,3109,40.72606,-73.95621
Meserole Ave & Manhattan Ave,3110,40.72708584,-73.95299117
Milton St & Franklin St,3112,40.72906,-73.95779
Greenpoint Ave & Manhattan Ave,3113,40.73026,-73.95394
India St & Manhattan Ave,3115,40.73232194,-73.9550858
Huron St & Franklin St,3116,40.73266,-73.95826
Franklin St & Dupont St,3117,40.73564,-73.95866
McGuinness Blvd & Eagle St,3118,40.73555,-73.95284
Vernon Blvd & 50 Ave,3119,40.74232744,-73.95411749
Center Blvd & Borden Ave,3120,40.74161,-73.96044
Jackson Ave & 46 Rd,3121,40.74524768,-73.94733276
48 Ave & 5 St,3122,40.74436329,-73.95587325
31 St & Thomson Ave,3123,40.74469738,-73.93540375
46 Ave & 5 St,3124,40.74731,-73.95451
45 Rd & 11 St,3125,40.74708586,-73.94977234
44 Dr & Jackson Ave,3126,40.74718234,-73.9432635
9 St & 44 Rd,3127,40.74966,-73.9521
21 St & 43 Ave,3128,40.75052534,-73.94594845
Queens Plaza North & Crescent St,3129,40.75110165,-73.94073717
21 St & Queens Plaza North,3130,40.75325964,-73.94335788
E 68 St & 3 Ave,3131,40.7671284,-73.96224618
E 59 St & Madison Ave,3132,40.76350532,-73.97109243
3 Ave & E 62 St,3134,40.76312584,-73.96526895
E 75 St & 3 Ave,3135,40.77112927,-73.95772297
5 Ave & E 63 St,3136,40.766368,-73.971518
5 Ave & E 73 St,3137,40.77282817,-73.96685276
E 72 St & Park Ave,3139,40.77118288,-73.96409422
1 Ave & E 78 St,3140,40.77140426,-73.9535166
1 Ave & E 68 St,3141,40.76500525,-73.95818491
1 Ave & E 62 St,3142,40.7612274,-73.96094022
5 Ave & E 78 St,3143,40.77632142,-73.96427393
E 81 St & Park Ave,3144,40.77677702,-73.9590097
E 84 St & Park Ave,3145,40.77862688,-73.95772073
E 81 St & 3 Ave,3146,40.77573034,-73.9567526
E 85 St & 3 Ave,3147,40.77801203,-73.95407149
E 84 St & 1 Ave,3148,40.77565541,-73.95068615
E 85 St & York Ave,3150,40.77536905,-73.94803392
E 81 St & York Ave,3151,40.7728384,-73.94989233
3 Ave & E 71 St,3152,40.76873687,-73.96119945
Lexington Ave & E 63 St,3155,40.76440023,-73.96648977
E 72 St & York Ave,3156,40.76663814,-73.95348296
East End Ave & E 86 St,3157,40.77518615,-73.94446054
W 63 St & Broadway,3158,40.77163851,-73.98261428
W 67 St & Broadway,3159,40.77492513,-73.98266566
Central Park West & W 76 St,3160,40.77896784,-73.97374737
W 76 St & Columbus Ave,3161,40.78018397,-73.97728533
W 78 St & Broadway,3162,40.78339981,-73.98093133
Central Park West & W 68 St,3163,40.7734066,-73.97782542
Columbus Ave & W 72 St,3164,40.7770575,-73.97898475
Central Park West & W 72 St,3165,40.77579377,-73.97620574
Riverside Dr & W 72 St,3166,40.78057799,-73.98562431
Amsterdam Ave & W 73 St,3167,40.77966809,-73.98093045
Central Park West & W 85 St,3168,40.78472675,-73.96961715
Riverside Dr & W 82 St,3169,40.78720869,-73.98128127
W 84 St & Columbus Ave,3170,40.78499979,-73.97283406
Amsterdam Ave & W 82 St,3171,40.78524672,-73.97667321
W 74 St & Columbus Ave,3172,40.7785669,-73.97754961
Riverside Blvd & W 67 St,3173,40.77750703,-73.98888588
W 70 St & Amsterdam Ave,3175,40.77748046,-73.98288594
W 64 St & West End Ave,3176,40.77452835,-73.98753759
W 84 St & Broadway,3177,40.7867947,-73.977112
Riverside Dr & W 78 St,3178,40.78414472,-73.98362492
Park Ave & Marcus Garvey Blvd,3179,40.698617,-73.941342
Brooklyn Bridge Park - Pier 2,3180,40.69878,-73.99712
47 Ave & 31 St,3221,40.743,-73.93561
E 55 St & 3 Ave,3223,40.75899656,-73.96865398
W 13 St & Hudson St,3224,40.73997354,-74.00513873
W 82 St & Central Park West,3226,40.78275,-73.97137
E 67 St & Park Ave,3231,40.7678008,-73.96592081
Bond St & Fulton St,3232,40.68962189,-73.98304269
E 48 St & 5 Ave,3233,40.75724568,-73.97805914
E 41 St & Madison Ave,3235,40.75216528,-73.97992194
W 42 St & Dyer Ave,3236,40.75898481,-73.99379969
E 80 St & 2 Ave,3238,40.7739139,-73.95439535
Bressler,3239,40.64653837,-74.01658773
Monroe St & Tompkins Ave,3241,40.686203,-73.944694
Schermerhorn St & Court St,3242,40.69102926,-73.99183363
E 58 St & 1 Ave,3243,40.75892386,-73.96226227
University Pl & E 8 St,3244,40.73143724,-73.99490342
Verona Pl & Fulton St,3249,40.68035608,-73.9476791
NYCBS Depot - PIT,3250,40.71690978,-73.98383796
8 Ave & W 31 St,3255,40.75058535,-73.99468482
Pier 40 - Hudson River Park,3256,40.72771408,-74.01129574
W 27 St & 10 Ave,3258,40.75018156,-74.00218427
9 Ave & W 28 St,3259,40.74937024,-73.99923384
Mercer St & Bleecker St,3260,40.72706363,-73.99662137
Cooper Square & Astor Pl,3263,40.72951496,-73.9907527
5 Ave & E 88 St,3282,40.78307,-73.95939
W 89 St & Columbus Ave,3283,40.7882213,-73.97041561
